57,Lowest Common Ancestor of a Binary Search Tree,Trees,Medium,https://www.youtube.com/watch?v=1HUmPsyFb9U,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree/
58,Binary Tree Level Order Traversal,Trees,Medium,https://www.youtube.com/watch?v=Oy3g4SEKNw0,https://leetcode.com/problems/binary-tree-level-order-traversal/
59,Binary Tree Right Side View,Trees,Medium,https://www.youtube.com/watch?v=4lMY-g0Afg8,https://leetcode.com/problems/binary-tree-right-side-view/
60,Count Good Nodes In Binary Tree,Trees,Medium,https://www.youtube.com/watch?v=AiCPoU8q2sU,https://leetcode.com/problems/count-good-nodes-in-binary-tree/
61,Validate Binary Search Tree,Trees,Medium,https://www.youtube.com/watch?v=QaCMLopSwWI,https://leetcode.com/problems/validate-binary-search-tree/
62,Kth Smallest Element In a Bst,Trees,Medium,https://www.youtube.com/watch?v=tAUB05a6ys4,https://leetcode.com/problems/kth-smallest-element-in-a-bst/
63,Construct Binary Tree From Preorder And Inorder Traversal,Trees,Medium,https://www.youtube.com/watch?v=YYl2Tp-Wqcw,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/
64,Implement Trie Prefix Tree,Tries,Medium,https://www.youtube.com/watch?v=nLTqtBLhPbQ,https://leetcode.com/problems/implement-trie-prefix-tree/
65,Design Add And Search Words Data Structure,Tries,Medium,https://www.youtube.com/watch?v=Z7Kr2b4d9fE,https://leetcode.com/problems/design-add-and-search-words-data-structure/
66,K Closest Points to Origin,Heap / Priority Queue,Medium,https://www.youtube.com/watch?v=RLyF_-4Izg0,https://leetcode.com/problems/k-closest-points-to-origin/
67,Kth Largest Element In An Array,Heap / Priority Queue,Medium,https://www.youtube.com/watch?v=kmUL7CAOSwc,https://leetcode.com/problems/kth-largest-element-in-an-array/
68,Task Scheduler,Heap / Priority Queue,Medium,https://www.youtube.com/watch?v=IcjlqToRGWI,https://leetcode.com/problems/task-scheduler/
69,Design Twitter,Heap / Priority Queue,Medium,,https://leetcode.com/problems/design-twitter/
70,Subsets,Backtracking,Medium,,https://leetcode.com/problems/subsets/
71,Combination Sum,Backtracking,Medium,https://www.youtube.com/watch?v=dJBbuDK4ZRk,https://leetcode.com/problems/combination-sum/
72,Permutations,Backtracking,Medium,,https://leetcode.com/problems/permutations/
73,Subsets II,Backtracking,Medium,,https://leetcode.com/problems/subsets-ii/
74,Combination Sum II,Backtracking,Medium,,https://leetcode.com/problems/combination-sum-ii/
75,Word Search,Backtracking,Medium,https://www.youtube.com/watch?v=8K2Sh9ingJA,https://leetcode.com/problems/word-search/
76,Palindrome Partitioning,Backtracking,Medium,,https://leetcode.com/problems/palindrome-partitioning/
77,Letter Combinations of a Phone Number,Backtracking,Medium,https://www.youtube.com/watch?v=dmYiOfy8a-k,https://leetcode.com/problems/letter-combinations-of-a-phone-number/
78,Number of Islands,Graphs,Medium,https://www.youtube.com/watch?v=H-2Nh2RXX6g,https://leetcode.com/problems/number-of-islands/
79,Clone Graph,Graphs,Medium,https://www.youtube.com/watch?v=1aN0WWM0-Eo,https://leetcode.com/problems/clone-graph/
80,Max Area of Island,Graphs,Medium,,https://leetcode.com/problems/max-area-of-island/
81,Pacific Atlantic Water Flow,Graphs,Medium,https://www.youtube.com/watch?v=fTohawuMcvY,https://leetcode.com/problems/pacific-atlantic-water-flow/
82,Surrounded Regions,Graphs,Medium,,https://leetcode.com/problems/surrounded-regions/
83,Rotting Oranges,Graphs,Medium,,https://leetcode.com/problems/rotting-oranges/
84,Walls And Gates,Graphs,Medium,,https://leetcode.ca/all/286.html
85,Course Schedule,Graphs,Medium,https://www.youtube.com/watch?v=ge9WKEsVue0,https://leetcode.com/problems/course-schedule/
86,Course Schedule II,Graphs,Medium,https://www.youtube.com/watch?v=_RWV4hZdmdk,https://leetcode.com/problems/course-schedule-ii/
87,Redundant Connection,Graphs,Medium,,https://leetcode.com/problems/redundant-connection/
88,Number of Connected Components In An Undirected Graph,Graphs,Medium,https://www.youtube.com/watch?v=o8z2tHYrg_o,https://leetcode.ca/all/323.html
89,Graph Valid Tree,Graphs,Medium,https://www.youtube.com/watch?v=WU3-vo0MJW0,https://www.lintcode.com/problem/178/
90,Min Cost to Connect All Points,Advanced Graphs,Medium,,https://leetcode.com/problems/min-cost-to-connect-all-points/
91,Network Delay Time,Advanced Graphs,Medium,,https://leetcode.com/problems/network-delay-time/
92,Cheapest Flights Within K Stops,Advanced Graphs,Medium,,https://leetcode.com/problems/cheapest-flights-within-k-stops/
93,House Robber,1-D Dynamic Programming,Medium,https://www.youtube.com/watch?v=jFmfYi_dvwQ,https://leetcode.com/problems/house-robber/
